year,co2_ppm
1850,284.3170
1851,284.4510
1852,284.5980
1853,284.7310
1854,284.8460
1855,284.9410
1856,285.0490
1857,285.2040
1858,285.3690
1859,285.5450
1860,285.7390
1861,285.9330
1862,286.1000
1863,286.2710
1864,286.4420
1865,286.6140
1866,286.7810
1867,286.9550
1868,287.1050
1869,287.2250
1870,287.3550
1871,287.4940
1872,287.6640
1873,287.8600
1874,288.0610
1875,288.2910
1876,288.5200
1877,288.7520
1878,288.9930
1879,289.2210
1880,289.4700
1881,289.7370
1882,290.0190
1883,290.2630
1884,290.5120
1885,290.7970
1886,291.1000
1887,291.4140
1888,291.7630
1889,292.1130
1890,292.4580
1891,292.8160
1892,293.1670
1893,293.4770
1894,293.7910
1895,294.0790
1896,294.3650
1897,294.6460
1898,294.9540
1899,295.3000
1900,295.6750
1901,296.0070
1902,296.3250
1903,296.6540
1904,296.9540
1905,297.2890
1906,297.6620
1907,298.0980
1908,298.5180
1909,298.9360
1910,299.3770
1911,299.8290
1912,300.3530
1913,300.9100
1914,301.4190
1915,301.9370
1916,302.4850
1917,303.0110
1918,303.4490
1919,303.8140
1920,304.2460
1921,304.6000
1922,304.9450
1923,305.2710
1924,305.6300
1925,305.8130
1926,305.9540
1927,306.1770
1928,306.3290
1929,306.4950
1930,306.6200
1931,306.8220
1932,307.0930
1933,307.4020
1934,307.7850
1935,308.2270
1936,309.0120
1937,309.7640
1938,310.2940
1939,310.8510
1940,311.3570
1941,311.8110
1942,312.1720
1943,312.3900
1944,312.4130
1945,312.3850
1946,312.3900
1947,312.4860
1948,312.5210
1949,312.6320
1950,312.8210
1951,313.0140
1952,313.3420
1953,313.7300
1954,314.0950
1955,314.4150
1956,314.6980
1957,314.9920
1958,315.3450
1959,315.8070
1960,316.6250
1961,317.2990
1962,318.0440
1963,318.6500
1964,319.3330
1965,319.8160
1966,320.8800
1967,321.4800
1968,322.3890
1969,323.2510
1970,324.7830
1971,325.4000
1972,327.3490
1973,329.9090
1974,330.7560
1975,330.8270
1976,331.5449
1977,333.3529
1978,335.0099
1979,336.8500
1980,338.9100
1981,340.1100
1982,340.8500
1983,342.5300
1984,344.0700
1985,345.5400
1986,346.9700
1987,348.6800
1988,351.1600
1989,352.7900
1990,354.0600
1991,355.4000
1992,356.0900
1993,356.8300
1994,358.3300
1995,360.1800
1996,361.9300
1997,363.0400
1998,365.7000
1999,367.7900
2000,368.9600
2001,370.5700
2002,372.5800
2003,375.1400
2004,376.9400
2005,378.9800
2006,381.1500
2007,382.9000
2008,385.0200
2009,386.5000
2010,388.7500
2011,390.6200
2012,392.6500
2013,395.4000
2014,397.3400
2015,399.6500
2016,403.0700
2017,405.2200
2018,407.6100
2019,410.0700
2020,412.4400
2021,414.7000
2022,417.0800
2023,419.3500
