year,ssp126,ssp245,ssp585
2024,421.9710,422.2940,422.8490
2025,424.5250,425.2550,426.4590
2026,427.0170,428.2360,430.1790
2027,429.4490,431.2370,434.0070
2028,431.8250,434.2580,437.9440
2029,434.1460,437.3020,441.9900
2030,436.4150,440.3680,446.1440
2031,438.6320,443.4570,450.4080
2032,440.7800,446.5580,454.7930
2033,442.8410,449.6600,459.3110
2034,444.8200,452.7660,463.9600
2035,446.7170,455.8770,468.7410
2036,448.5360,458.9950,473.6540
2037,450.2770,462.1220,478.7010
2038,451.9430,465.2580,483.8810
2039,453.5350,468.4040,489.1960
2040,455.0520,471.5610,494.6480
2041,456.4980,474.7290,500.2370
2042,457.8700,477.8990,505.9710
2043,459.1660,481.0630,511.8570
2044,460.3870,484.2210,517.8960
2045,461.5340,487.3750,524.0890
2046,462.6060,490.5250,530.4380
2047,463.6040,493.6720,536.9430
2048,464.5290,496.8170,543.6060
2049,465.3810,499.9590,550.4290
2050,466.1610,503.1000,557.4130
2051,466.8700,506.2390,564.5590
2052,467.5140,509.3620,571.8870
2053,468.1010,512.4550,579.4130
2054,468.6300,515.5170,587.1360
2055,469.1020,518.5510,595.0580
2056,469.5160,521.5570,603.1789
2057,469.8730,524.5350,611.4990
2058,470.1730,527.4860,620.0200
2059,470.4150,530.4110,628.7429
2060,470.6010,533.3100,637.6699
2061,470.7290,536.1830,646.8009
2062,470.8100,539.0200,656.1360
2063,470.8500,541.8120,665.6739
2064,470.8500,544.5600,675.4179
2065,470.8080,547.2640,685.3679
2066,470.7240,549.9250,695.5279
2067,470.5980,552.5440,705.8979
2068,470.4290,555.1200,716.4799
2069,470.2160,557.6560,727.2769
2070,469.9610,560.1500,738.2909
2071,469.6620,562.6050,749.5219
2072,469.3090,564.9970,760.9519
2073,468.8920,567.3080,772.5589
2074,468.4120,569.5390,784.3479
2075,467.8690,571.6910,796.3199
2076,467.2650,573.7650,808.4769
2077,466.6000,575.7620,820.8219
2078,465.8730,577.6830,833.3559
2079,465.0870,579.5290,846.0809
2080,464.2410,581.2990,858.9979
2081,463.3350,582.9950,872.1089
2082,462.3870,584.6030,885.3379
2083,461.4120,586.1110,898.6099
2084,460.4090,587.5210,911.9299
2085,459.3780,588.8340,925.2999
2086,458.3170,590.0500,938.7209
2087,457.2260,591.1700,952.1959
2088,456.1060,592.1950,965.7249
2089,454.9550,593.1250,979.3099
2090,453.7750,593.9600,992.9499
2091,452.5640,594.7020,1006.6489
2092,451.3530,595.3750,1020.3689
2093,450.1700,596.0010,1034.0789
2094,449.0110,596.5800,1047.7789
2095,447.8750,597.1110,1061.4789
2096,446.7600,597.5910,1075.1589
2097,445.6630,598.0220,1088.8389
2098,444.5850,598.4020,1102.5189
2099,443.5230,598.7300,1116.1789
2100,442.4760,599.0070,1129.8389
